             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7086334      cron /global/  jeanbez PD       0:00      1 (BeginTime)
           8612885      cron /global/      mjd PD       0:00      1 (BeginTime)
           9995858      cron /global/ zmarshal PD       0:00      1 (BeginTime)
          10246869      cron date;/gl   usgweb PD       0:00      1 (BeginTime)
          10778926      cron /global/  ahimmel PD       0:00      1 (BeginTime)
          10849087      cron /global/  divij18 PD       0:00      1 (BeginTime)
          13191497      cron /global/     akim PD       0:00      1 (BeginTime)
          13550636      cron scron_qu  bweaver PD       0:00      1 (BeginTime)
          13998406      cron /global/ arcatala PD       0:00      1 (BeginTime)
          14590674      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
          14590675      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
          14590676      cron    rsync  essdive PD       0:00      1 (BeginTime)
          16511730      cron queue_re lgerhard PD       0:00      1 (BeginTime)
          16527843      cron scron_dp     desi PD       0:00      1 (BeginTime)
          16527847      cron scron_sv     desi PD       0:00      1 (BeginTime)
          14629534      cron egsb_raw   msdata PD       0:00      1 (BeginTime)
          16432377      cron queue-pu hargrove PD       0:00      1 (BeginTime)
          14629533      cron jgi_raw_   msdata PD       0:00      1 (BeginTime)
          15092109      cron /global/ sakaguri PD       0:00      1 (BeginTime)
          16527842      cron scron_db     desi PD       0:00      1 (BeginTime)
           8551283      cron /global/   mjdata PD       0:00      1 (BeginTime)
          14422417      cron   iotest sjbailey PD       0:00      1 (BeginTime)
           8551282      cron /global/   mjdata PD       0:00      1 (BeginTime)
          14553016      cron /usr/bin ebylaska PD       0:00      1 (BeginTime)
           8612883      cron /global/      mjd PD       0:00      1 (BeginTime)
           9511838      cron /global/ icecubed PD       0:00      1 (BeginTime)
           9758339      cron list_wat datadash PD       0:00      1 (BeginTime)
           9758340      cron json_wat datadash PD       0:00      1 (BeginTime)
          13206622      cron /global/ agreiner PD       0:00      1 (BeginTime)
          14629528      cron check_sc   msdata PD       0:00      1 (BeginTime)
          16511732      cron ior_big_ lgerhard PD       0:00      1 (BeginTime)
           8612882      cron /global/      mjd PD       0:00      1 (BeginTime)
           6917159      cron /global/    regan PD       0:00      1 (BeginTime)
           8636655      cron /global/     euso PD       0:00      1 (BeginTime)
           9822957      cron ~/bin/is  stefanl PD       0:00      1 (BeginTime)
          10246868      cron /global/   usgweb PD       0:00      1 (BeginTime)
          13471019      cron rna-asse  ga_user PD       0:00      1 (BeginTime)
          13471020      cron reseq_re  ga_user PD       0:00      1 (BeginTime)
          13471021      cron dap-seq_  ga_user PD       0:00      1 (BeginTime)
          14590680      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
          14590681      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
          14590682      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
          14629522      cron jgi_conv   msdata PD       0:00      1 (BeginTime)
          14629523      cron egsb_con   msdata PD       0:00      1 (BeginTime)
          14629524      cron shifter_   msdata PD       0:00      1 (BeginTime)
          14629525      cron metatlas   msdata PD       0:00      1 (BeginTime)
          15120371      cron starter_   tylern PD       0:00      1 (BeginTime)
          15620938      cron nmjaws_n   nmjaws PD       0:00      1 (BeginTime)
          16313441      cron jaws_per     jaws PD       0:00      1 (BeginTime)
          16313442      cron jaws_per     jaws PD       0:00      1 (BeginTime)
          16511740      cron dvs_chec lgerhard PD       0:00      1 (BeginTime)
          14590677      cron     echo  essdive PD       0:00      1 (BeginTime)
          16536313      cron pipe0-si icecubed PD       0:00      1 (Priority)
          16536312      cron pipe0-ne icecubed PD       0:00      1 (Priority)
          16536310      cron pipe0-ne icecubed PD       0:00      1 (Priority)
          16536308      cron pipe0-ne icecubed PD       0:00      1 (Priority)
          16528757      cron jaws_nmd   nmjaws PD       0:00      1 (Dependency)
          16527841      cron scron_nw     desi PD       0:00      1 (Dependency)
          16518432      cron jaws_per     jaws PD       0:00      1 (Dependency)
          16518429      cron jaws_per     jaws PD       0:00      1 (Dependency)
          16513154      cron jaws_per     jaws PD       0:00      1 (Dependency)
          16512119      cron jaws_per     jaws PD       0:00      1 (Dependency)
          16510333      cron jaws_nmd   nmjaws PD       0:00      1 (Dependency)
          16471005      cron jaws_per     jaws PD       0:00      1 (Dependency)
